"2 ppm.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.036
402.00	0.034
404.00	0.033
406.00	0.032
408.00	0.031
410.00	0.030
412.00	0.029
414.00	0.028
416.00	0.028
418.00	0.028
420.00	0.028
422.00	0.028
424.00	0.028
426.00	0.028
428.00	0.028
430.00	0.029
432.00	0.029
434.00	0.030
436.00	0.030
438.00	0.031
440.00	0.032
442.00	0.033
444.00	0.034
446.00	0.034
448.00	0.036
450.00	0.036
452.00	0.037
454.00	0.038
456.00	0.039
458.00	0.041
460.00	0.041
462.00	0.042
464.00	0.044
466.00	0.044
468.00	0.045
470.00	0.046
472.00	0.047
474.00	0.048
476.00	0.049
478.00	0.050
480.00	0.051
482.00	0.051
484.00	0.052
486.00	0.052
488.00	0.053
490.00	0.054
492.00	0.055
494.00	0.057
496.00	0.058
498.00	0.059
500.00	0.060
502.00	0.061
504.00	0.062
506.00	0.064
508.00	0.065
510.00	0.066
512.00	0.067
514.00	0.068
516.00	0.069
518.00	0.071
520.00	0.072
522.00	0.073
524.00	0.075
526.00	0.076
528.00	0.077
530.00	0.079
532.00	0.080
534.00	0.081
536.00	0.083
538.00	0.084
540.00	0.086
542.00	0.088
544.00	0.089
546.00	0.091
548.00	0.092
550.00	0.094
552.00	0.095
554.00	0.097
556.00	0.098
558.00	0.100
560.00	0.101
562.00	0.103
564.00	0.105
566.00	0.106
568.00	0.108
570.00	0.110
572.00	0.111
574.00	0.113
576.00	0.114
578.00	0.116
580.00	0.117
582.00	0.119
584.00	0.120
586.00	0.121
588.00	0.123
590.00	0.124
592.00	0.126
594.00	0.127
596.00	0.128
598.00	0.130
600.00	0.131
602.00	0.133
604.00	0.134
606.00	0.135
608.00	0.136
610.00	0.137
612.00	0.138
614.00	0.139
616.00	0.141
618.00	0.141
620.00	0.142
622.00	0.143
624.00	0.144
626.00	0.145
628.00	0.146
630.00	0.147
632.00	0.147
634.00	0.148
636.00	0.149
638.00	0.149
640.00	0.150
642.00	0.151
644.00	0.151
646.00	0.152
648.00	0.153
650.00	0.153
652.00	0.154
654.00	0.154
656.00	0.155
658.00	0.156
660.00	0.156
662.00	0.157
664.00	0.158
666.00	0.158
668.00	0.159
670.00	0.160
672.00	0.161
674.00	0.161
676.00	0.162
678.00	0.163
680.00	0.164
682.00	0.165
684.00	0.166
686.00	0.168
688.00	0.169
690.00	0.170
692.00	0.172
694.00	0.173
696.00	0.175
698.00	0.177
700.00	0.178
702.00	0.180
704.00	0.183
706.00	0.185
708.00	0.187
710.00	0.189
712.00	0.192
714.00	0.195
716.00	0.197
718.00	0.200
720.00	0.203
722.00	0.206
724.00	0.209
726.00	0.213
728.00	0.217
730.00	0.221
732.00	0.225
734.00	0.229
736.00	0.233
738.00	0.238
740.00	0.242
742.00	0.247
744.00	0.252
746.00	0.257
748.00	0.262
750.00	0.267
752.00	0.272
754.00	0.278
756.00	0.284
758.00	0.290
760.00	0.297
762.00	0.302
764.00	0.309
766.00	0.315
768.00	0.321
770.00	0.328
772.00	0.334
774.00	0.340
776.00	0.347
778.00	0.353
780.00	0.359
782.00	0.365
784.00	0.372
786.00	0.378
788.00	0.384
790.00	0.391
792.00	0.397
794.00	0.403
796.00	0.408
798.00	0.414
800.00	0.419
802.00	0.424
804.00	0.428
806.00	0.433
808.00	0.436
810.00	0.440
812.00	0.444
814.00	0.446
816.00	0.449
818.00	0.451
820.00	0.453
822.00	0.454
824.00	0.454
826.00	0.454
828.00	0.453
830.00	0.453
832.00	0.450
834.00	0.447
836.00	0.445
838.00	0.441
840.00	0.436
842.00	0.431
844.00	0.425
846.00	0.418
848.00	0.411
850.00	0.403
852.00	0.394
854.00	0.386
856.00	0.376
858.00	0.367
860.00	0.358
862.00	0.347
864.00	0.339
866.00	0.328
868.00	0.320
870.00	0.308
872.00	0.298
874.00	0.287
876.00	0.276
878.00	0.269
880.00	0.258
882.00	0.250
884.00	0.241
886.00	0.237
888.00	0.224
890.00	0.220
892.00	0.211
894.00	0.203
896.00	0.195
898.00	0.190
900.00	0.183
902.00	0.179
904.00	0.176
906.00	0.176
908.00	0.170
910.00	0.167
912.00	0.164
914.00	0.166
916.00	0.167
918.00	0.169
920.00	0.158
922.00	0.166
924.00	0.172
926.00	0.170
928.00	0.165
930.00	0.177
932.00	0.170
934.00	0.173
936.00	0.179
938.00	0.179
940.00	0.192
942.00	0.196
944.00	0.195
946.00	0.201
948.00	0.210
950.00	0.211
952.00	0.225
954.00	0.234
956.00	0.236
958.00	0.236
960.00	0.232
962.00	0.240
964.00	0.232
966.00	0.244
968.00	0.240
970.00	0.236
972.00	0.240
974.00	0.237
976.00	0.242
978.00	0.238
980.00	0.244
982.00	0.247
984.00	0.242
986.00	0.245
988.00	0.255
990.00	0.246
992.00	0.260
994.00	0.268
996.00	0.255
998.00	0.261
1000.00	0.260
