"4 ppm.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.191
402.00	0.183
404.00	0.176
406.00	0.170
408.00	0.165
410.00	0.161
412.00	0.157
414.00	0.154
416.00	0.151
418.00	0.150
420.00	0.150
422.00	0.150
424.00	0.151
426.00	0.152
428.00	0.154
430.00	0.156
432.00	0.159
434.00	0.162
436.00	0.166
438.00	0.170
440.00	0.174
442.00	0.179
444.00	0.183
446.00	0.188
448.00	0.193
450.00	0.197
452.00	0.203
454.00	0.208
456.00	0.213
458.00	0.218
460.00	0.223
462.00	0.228
464.00	0.233
466.00	0.238
468.00	0.242
470.00	0.247
472.00	0.251
474.00	0.256
476.00	0.260
478.00	0.265
480.00	0.269
482.00	0.272
484.00	0.276
486.00	0.280
488.00	0.285
490.00	0.289
492.00	0.294
494.00	0.299
496.00	0.304
498.00	0.309
500.00	0.314
502.00	0.319
504.00	0.325
506.00	0.330
508.00	0.336
510.00	0.342
512.00	0.348
514.00	0.354
516.00	0.360
518.00	0.366
520.00	0.372
522.00	0.379
524.00	0.387
526.00	0.394
528.00	0.401
530.00	0.409
532.00	0.417
534.00	0.423
536.00	0.432
538.00	0.440
540.00	0.448
542.00	0.457
544.00	0.465
546.00	0.473
548.00	0.481
550.00	0.489
552.00	0.497
554.00	0.505
556.00	0.513
558.00	0.521
560.00	0.530
562.00	0.538
564.00	0.547
566.00	0.556
568.00	0.564
570.00	0.572
572.00	0.579
574.00	0.587
576.00	0.595
578.00	0.603
580.00	0.610
582.00	0.618
584.00	0.625
586.00	0.632
588.00	0.639
590.00	0.646
592.00	0.653
594.00	0.660
596.00	0.667
598.00	0.674
600.00	0.681
602.00	0.688
604.00	0.694
606.00	0.701
608.00	0.707
610.00	0.713
612.00	0.718
614.00	0.723
616.00	0.729
618.00	0.733
620.00	0.738
622.00	0.742
624.00	0.746
626.00	0.751
628.00	0.755
630.00	0.759
632.00	0.763
634.00	0.766
636.00	0.770
638.00	0.773
640.00	0.776
642.00	0.779
644.00	0.782
646.00	0.785
648.00	0.788
650.00	0.790
652.00	0.793
654.00	0.795
656.00	0.798
658.00	0.801
660.00	0.804
662.00	0.807
664.00	0.811
666.00	0.814
668.00	0.818
670.00	0.821
672.00	0.825
674.00	0.830
676.00	0.834
678.00	0.839
680.00	0.844
682.00	0.849
684.00	0.854
686.00	0.860
688.00	0.866
690.00	0.873
692.00	0.880
694.00	0.888
696.00	0.896
698.00	0.905
700.00	0.914
702.00	0.924
704.00	0.934
706.00	0.945
708.00	0.956
710.00	0.968
712.00	0.981
714.00	0.994
716.00	1.008
718.00	1.022
720.00	1.037
722.00	1.053
724.00	1.070
726.00	1.089
728.00	1.109
730.00	1.129
732.00	1.150
734.00	1.171
736.00	1.193
738.00	1.216
740.00	1.240
742.00	1.265
744.00	1.290
746.00	1.315
748.00	1.341
750.00	1.368
752.00	1.395
754.00	1.424
756.00	1.456
758.00	1.484
760.00	1.520
762.00	1.550
764.00	1.584
766.00	1.616
768.00	1.652
770.00	1.684
772.00	1.716
774.00	1.750
776.00	1.781
778.00	1.813
780.00	1.843
782.00	1.877
784.00	1.909
786.00	1.943
788.00	1.976
790.00	2.009
792.00	2.039
794.00	2.071
796.00	2.097
798.00	2.128
800.00	2.151
802.00	2.179
804.00	2.203
806.00	2.223
808.00	2.243
810.00	2.260
812.00	2.278
814.00	2.297
816.00	2.308
818.00	2.322
820.00	2.327
822.00	2.333
824.00	2.336
826.00	2.336
828.00	2.333
830.00	2.326
832.00	2.315
834.00	2.301
836.00	2.287
838.00	2.267
840.00	2.243
842.00	2.218
844.00	2.185
846.00	2.151
848.00	2.114
850.00	2.072
852.00	2.030
854.00	1.985
856.00	1.937
858.00	1.887
860.00	1.839
862.00	1.788
864.00	1.737
866.00	1.686
868.00	1.631
870.00	1.581
872.00	1.521
874.00	1.471
876.00	1.413
878.00	1.362
880.00	1.310
882.00	1.264
884.00	1.217
886.00	1.176
888.00	1.133
890.00	1.094
892.00	1.050
894.00	1.009
896.00	0.972
898.00	0.934
900.00	0.897
902.00	0.872
904.00	0.839
906.00	0.831
908.00	0.794
910.00	0.778
912.00	0.767
914.00	0.752
916.00	0.741
918.00	0.721
920.00	0.711
922.00	0.709
924.00	0.699
926.00	0.697
928.00	0.688
930.00	0.691
932.00	0.676
934.00	0.690
936.00	0.682
938.00	0.676
940.00	0.690
942.00	0.727
944.00	0.742
946.00	0.757
948.00	0.771
950.00	0.773
952.00	0.791
954.00	0.816
956.00	0.836
958.00	0.840
960.00	0.855
962.00	0.858
964.00	0.842
966.00	0.857
968.00	0.867
970.00	0.852
972.00	0.854
974.00	0.855
976.00	0.869
978.00	0.872
980.00	0.857
982.00	0.891
984.00	0.874
986.00	0.881
988.00	0.904
990.00	0.884
992.00	0.922
994.00	0.943
996.00	0.937
998.00	0.952
1000.00	0.947
